pbp_id,date,server1,server2,winner,pbp,score,wh_minutes,score_winner_valid,pbp_fixed,pbp_set_count,score_set_count,set_count_match,pbp_set_winners,set_match,pbp_match_winner,winner_match,score_set_winners
2231275,2011-07-28,Olivier Rochus,Fabio Fognini,2,SSSS;RRRR;SSRRSS;SSRRSS;RSRSRSRR;SSRSS;RSRRSR;SSRSS;RSRSSS;SSRSRRRSSS.SRRRSSRR;SRSRRR;RSSRRR;RRRSSSRSSRSS;RSSRRSRR;SSRRSRSS;SRSRRR,6-4 6-1,66,False,SSSS;RRRR;SSRRSS;SSRRSS;RSRSRSRR;SSRSS;RSRRSR;SSRSS;RSRSSS;SSRSRRRSSS.SRRRSSRR;SRSRRR;RSSRRR;RRRSSSRSSRSS;RSSRRSRR;SSRRSRSS;SRSRRR.,2,2,True,"[2, 2]",False,2,True,"[1, 1]"
2231276,2011-07-28,Robin Haase,Marin Cilic,2,SSRSS;RRSSRSSS;SSSS;RSSSS;SRSRSS;RSRSRSSS;RSRSSRSS;SSSS;SSSRS;RRSRR.RSSRSRSRSRRR;RSSSS;SSRSS;SRRRSSSRSS;SRSRSRSS;SSSS;SRRSSRSS;SSSRS;SSRSS;RSSSS.RRSSRR;SRSRRR;RRRR;SSRSRRRSSRSS;SRSRRSSS;SRRRSSSRSS;RRRSSSRSSS;SSSRS;RSSRRSRR,4-6 6-4 6-3,141,False,SSRSS;RRSSRSSS;SSSS;RSSSS;SRSRSS;RSRSRSSS;RSRSSRSS;SSSS;SSSRS;RRSRR.RSSRSRSRSRRR;RSSSS;SSRSS;SRRRSSSRSS;SRSRSRSS;SSSS;SRRSSRSS;SSSRS;SSRSS;RSSSS.RRSSRR;SRSRRR;RRRR;SSRSRRRSSRSS;SRSRRSSS;SRRRSSSRSS;RRRSSSRSSS;SSSRS;RSSRRSRR.,3,3,True,"[1, 2, 2]",False,2,True,"[2, 1, 1]"
2236280,2011-07-29,Marin Cilic,Andreas Seppi,1,SSSS;SRRRR;SSRRRSSS;RSRRSSSS;RSRSSS;SRRRR;SSRSS.RSRSRSSS;SSSS;SSSRRS;SSRRSS;RRSSRSRSRR;SRSSS;RSSSS;SSRRSRSS;RSSRRR,6-1 6-3,71,True,SSSS;SRRRR;SSRRRSSS;RSRRSSSS;RSRSSS;SRRRR;SSRSS.RSRSRSSS;SSSS;SSSRRS;SSRRSS;RRSSRSRSRR;SRSSS;RSSSS;SSRRSRSS;RSSRRR.,2,2,True,"[1, 1]",True,1,True,"[1, 1]"
2233792,2011-07-29,Alexandr Dolgopolov,Albert Ramos,1,SRSSRS;RRSSSRSS;RSRSSRSRSS;RRRR;SSRSS;SRSSS;SRRSSRRSSRSS;SSSS;SSSRRS.SSSS;SRSSS;SSRRRSSRSRRSSS;SSSS;RSRSRR;SSSS;RSRSSS;SRSRSRRR;RSSSS;RSSSRS;SRRRR;SSSS,6-3 7-5,83,True,SRSSRS;RRSSSRSS;RSRSSRSRSS;RRRR;SSRSS;SRSSS;SRRSSRRSSRSS;SSSS;SSSRRS.SSSS;SRSSS;SSRRRSSRSRRSSS;SSSS;RSRSRR;SSSS;RSRSSS;SRSRSRRR;RSSSS;RSSSRS;SRRRR;SSSS.,2,2,True,"[1, 1]",True,1,True,"[1, 1]"
2233791,2011-07-29,Carlos Berlocq,Juan Carlos Ferrero,2,RRRR;SRSSS;SSRRSS;RSRSSS;RRRSR;SSSRRS;RRRR.SRRSSS;RRRR;RSRRSR;RSSSRRRR;SSSS;RRRSSR;RRRR;RSSSS;RRRSR;SSRSS;RSRRR;RRRSR;R/RR/RS/RS/RS/SR/S,6-1 7-6(5),150,False,RRRR;SRSSS;SSRRSS;RSRSSS;RRRSR;SSSRRS;RRRR.SRRSSS;RRRR;RSRRSR;RSSSRRRR;SSSS;RRRSSR;RRRR;RSSSS;RRRSR;SSRSS;RSRRR;RRRSR;R/RR/RS/RS/RS/SR/S.,2,2,True,"[2, 2]",False,2,True,"[1, 1]"
2229262,2011-07-28,Matthias Bachinger,Julien Benneteau,2,SSSS;SSSS;RRRR;SSSS;SSSS;SRRRSSRSSRRSSRSS;SSSS;RSSSS;SSSS;SSSS.SSRSS;SSSS;RRRR;SRRRSR;SSSRRRRSRR;SRRSSS;RSSRSRRSRSSS;SSSS;RRRSSSSS;SSRSS,6-4 6-4,57,False,SSSS;SSSS;RRRR;SSSS;SSSS;SRRRSSRSSRRSSRSS;SSSS;RSSSS;SSSS;SSSS.SSRSS;SSSS;RRRR;SRRRSR;SSSRRRRSRR;SRRSSS;RSSRSRRSRSSS;SSSS;RRRSSSSS;SSRSS.,2,2,True,"[2, 2]",False,2,True,"[1, 1]"
2228887,2011-07-28,Stanislas Wawrinka,Peter Luczak,1,SSSS;RRSSSS;SRSSRS;RRSSSS;SSSRS;SSSRRS;RSSSS;RRRSR;SSSS.SSRSS;SSRRSS;RSRSSS;RSSRRR;SSRRSRSS;SSRRRSSS;RRSRSSRSRR;RSSSRS;SSRSS;SSSS;RRRR;SSSS,6-3 7-5,82,True,SSSS;RRSSSS;SRSSRS;RRSSSS;SSSRS;SSSRRS;RSSSS;RRRSR;SSSS.SSRSS;SSRRSS;RSRSSS;RSSRRR;SSRRSRSS;SSRRRSSS;RRSRSSRSRR;RSSSRS;SSRSS;SSSS;RRRR;SSSS.,2,2,True,"[1, 1]",True,1,True,"[1, 1]"
2229260,2011-07-28,Frederico Gil,Fernando Verdasco,2,SSRSS;SSSS;SRSRRSRSRSSRRR;SSSRRS;SRSSRS;SRSRRSRSSRRSSS;SRSRRSRSSS;SRSSS;RSSRRSRSRR.RRSSSS;SSRRRSSS;RRSSSS;RSRRSR;SRRSRSRSSS;SRSSS;SSRRSS;RRSRSR,6-3 6-2,144,False,SSRSS;SSSS;SRSRRSRSRSSRRR;SSSRRS;SRSSRS;SRSRRSRSSRRSSS;SRSRRSRSSS;SRSSS;RSSRRSRSRR.RRSSSS;SSRRRSSS;RRSSSS;RSRRSR;SRRSRSRSSS;SRSSS;SSRRSS;RRSRSR.,2,2,True,"[2, 2]",False,2,True,"[1, 1]"
2234483,2011-07-29,Andreas Haider-Maurer,Mikhail Youzhny,2,RRRSSR;SSSS;SRSSS;RSSSS;RRSSSS;SSRRRR;RRSSRR;RSSSS;SSRSS;SSSRS.SSRSS;SSRRRSRR;SSRRRSSRSS;RSSSS;SSSS;SSSS;SRRSRR;SRSRSS;SSSS;SRRSSS;SSRSS;RSRRR.SSSS;RSSSS;SRSSS;SRRSSS;RRSSRSRR;RSSRRSSS;RSSRRSSS;SRSRSRSRSS;RSSSS;RSRSSRSS,6-4 5-7 6-4,139,False,RRRSSR;SSSS;SRSSS;RSSSS;RRSSSS;SSRRRR;RRSSRR;RSSSS;SSRSS;SSSRS.SSRSS;SSRRRSRR;SSRRRSSRSS;RSSSS;SSSS;SSSS;SRRSRR;SRSRSS;SSSS;SRRSSS;SSRSS;RSRRR.SSSS;RSSSS;SRSSS;SRRSSS;RRSSRSRR;RSSRRSSS;RSSRRSSS;SRSRSRSRSS;RSSSS;RSRSSRSS.,3,3,True,"[2, 1, 2]",False,2,True,"[1, 2, 1]"
2234484,2011-07-29,Stanislas Wawrinka,Marcel Granollers,2,SSRRRR;RSSSS;SSRRSRSS;RRRR;RRSSSS;SSRSS;SRRRSR;SSSS;RSRRR.RSSSRS;SRSRRSRR;SSSS;SRSSS;RSSSS;SSSS;SSSRRS;SRSRRR,6-3 6-2,68,False,SSRRRR;RSSSS;SSRRSRSS;RRRR;RRSSSS;SSRSS;SRRRSR;SSSS;RSRRR.RSSSRS;SRSRRSRR;SSSS;SRSSS;RSSSS;SSSS;SSSRRS;SRSRRR.,2,2,True,"[2, 2]",False,2,True,"[1, 1]"
